Category,Level1,Level2,Level3,Level4,Level5,Federal,,GovXFer,State,Local,Total
#NAME?,Pensions,Old age,Social security (651),Social security (651),Social security (651),2.629,b,,,,2.629
#NAME?,Pensions,Old age,Social security (651),Social security (651),Social security (651),676.467,b,,,,676.467
"---FDI, General Fund Payments for Payroll Tax Holiday (PL 111-312)",Pensions,Old age,Social security (651),Social security (651),Social security (651),-4.317,b,,,,-4.317
#NAME?,Pensions,Old age,Social security (651),Social security (651),Social security (651),-2.495,b,,,,-2.495
#NAME?,Pensions,Old age,Social security (651),Social security (651),Social security (651),3.026,b,,,,3.026
#NAME?,Pensions,Old age,Social security (651),Social security (651),Social security (651),143.547,b,,,,143.547
#NAME?,Pensions,Old age,Social security (651),Social security (651),Social security (651),-0.16,b,,,,-0.16
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)",-3.339,b,,,,-3.339
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)",-0.196,b,,,,-0.196
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)",-6.953,b,,,,-6.953
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)",-3.649,b,,,,-3.649
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)",-0.59,b,,,,-0.59
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)",-20.844,b,,,,-20.844
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)",-6.95,b,,,,-6.95
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)",-21.257,b,,,,-21.257
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)",-3.933,b,,,,-3.933
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)","Employer share, employee retirement (onbudget) (951)",-0.322,b,,,,-0.322
#NAME?,Pensions,Old age,"Employer share, employee retirement (offbudget) (952)","Employer share, employee retirement (offbudget) (952)","Employer share, employee retirement (offbudget) (952)",-14.103,b,,,,-14.103
#NAME?,Pensions,Old age,"Employer share, employee retirement (offbudget) (952)","Employer share, employee retirement (offbudget) (952)","Employer share, employee retirement (offbudget) (952)",-2.395,b,,,,-2.395
#NAME?,Pensions,Old age,Employee Retirement  Benefit Payments (X11),Employee Retirement  Benefit Payments (X11),Employee Retirement  Benefit Payments (X11),0,g,0,186.3,42.6,228.9
#NAME?,Pensions,Old age,Employee Retirement  Withdrawals (X12),Employee Retirement  Withdrawals (X12),Employee Retirement  Withdrawals (X12),0,g,0,4.5,0.9,5.4
--Employee Retirement - Other Payments (Disc. 2005) (X14),Pensions,Old age,Employee Retirement  Other Payments (Disc. 2005) (X14),Employee Retirement  Other Payments (Disc. 2005) (X14),Employee Retirement  Other Payments (Disc. 2005) (X14),0,,0,0,0,0
#NAME?,Health Care,1,100,Medicare (571),Medicare (571),-194.019,b,,,,-194.019
#NAME?,Health Care,2,101,Medicare (571),Medicare (571),-4.082,b,,,,-4.082
#NAME?,Health Care,3,102,Medicare (571),Medicare (571),-8.985,b,,,,-8.985
#NAME?,Health Care,4,103,Medicare (571),Medicare (571),-0.215,b,,,,-0.215
#NAME?,Health Care,5,104,Medicare (571),Medicare (571),-4.4,b,,,,-4.4
#NAME?,Health Care,6,105,Medicare (571),Medicare (571),-0.424,b,,,,-0.424
#NAME?,Health Care,7,106,Medicare (571),Medicare (571),-56.194,b,,,,-56.194
#NAME?,Health Care,8,107,Medicare (571),Medicare (571),-54.735,b,,,,-54.735
#NAME?,Health Care,9,108,Medicare (571),Medicare (571),-5.87,b,,,,-5.87
#NAME?,Health Care,10,109,Medicare (571),Medicare (571),-10.513,b,,,,-10.513
#NAME?,Health Care,11,110,Medicare (571),Medicare (571),-20.811,b,,,,-20.811
#NAME?,Health Care,12,111,Medicare (571),Medicare (571),-0.225,b,,,,-0.225
#NAME?,Health Care,13,112,Medicare (571),Medicare (571),-0.134,b,,,,-0.134
#NAME?,Health Care,14,113,Medicare (571),Medicare (571),-1.126,b,,,,-1.126
#NAME?,Health Care,15,114,Medicare (571),Medicare (571),-5.8,b,,,,-5.8
#NAME?,Health Care,16,115,Medicare (571),Medicare (571),-0.672,b,,,,-0.672
#NAME?,Health Care,17,116,Medicare (571),Medicare (571),-3.552,b,,,,-3.552
#NAME?,Health Care,18,117,Medicare (531),Medicare (531),273.401,b,,,,273.401
#NAME?,Health Care,19,118,Medicare (531),Medicare (531),3.761,b,,,,3.761
#NAME?,Health Care,20,119,Medicare (531),Medicare (531),264.336,b,,,,264.336
#NAME?,Health Care,21,120,Medicare (531),Medicare (531),2.195,b,,,,2.195
#NAME?,Health Care,22,121,Medicare (531),Medicare (531),281.418,b,,,,281.418
#NAME?,Health Care,23,122,Medicare (531),Medicare (531),0.399,b,,,,0.399
#NAME?,Health Care,24,123,Medicare (531),Medicare (531),75.119,b,,,,75.119
#NAME?,Health Care,25,124,Medicare (531),Medicare (531),0.61,b,,,,0.61
#NAME?,Health Care,26,125,Medicare (531),Medicare (531),0.767,b,,,,0.767
#NAME?,Health Care,Medical service,Federal Intergovernmental  Health and Hospitals (B42),Federal Intergovernmental  Health and Hospitals (B42),Federal Intergovernmental  Health and Hospitals (B42),0,g,-28.2,0,0,-28.2
#NAME?,Health Care,Medical service,Current Operations  Health  Other (E32),Current Operations  Health  Other (E32),Current Operations  Health  Other (E32),0,g,0,35.7,36.9,72.6
#NAME?,Health Care,Medical service,Current Operations  Hospitals (E36),Current Operations  Hospitals (E36),Current Operations  Hospitals (E36),0,g,0,60,84.1,144.1
--Current Operations - Hospitals - Other (Disc. 2005) (E38),Health Care,Medical service,Current Operations  Hospitals  Other (Disc. 2005) (E38),Current Operations  Hospitals  Other (Disc. 2005) (E38),Current Operations  Hospitals  Other (Disc. 2005) (E38),0,,0,0,0,0
#NAME?,Health Care,Medical service,Construction  Health  Other (F32),Construction  Health  Other (F32),Construction  Health  Other (F32),0,g,0,0.9,0.5,1.4
#NAME?,Health Care,Medical service,Construction  Hospitals (F36),Construction  Hospitals (F36),Construction  Hospitals (F36),0,g,0,2.2,4,6.2
--Construction - Hospitals - Other (Disc. 2005) (F38),Health Care,Medical service,Construction  Hospitals  Other (Disc. 2005) (F38),Construction  Hospitals  Other (Disc. 2005) (F38),Construction  Hospitals  Other (Disc. 2005) (F38),0,,0,0,0,0
#NAME?,Health Care,Medical service,Other Capital Outlay  Health  Other (G32),Other Capital Outlay  Health  Other (G32),Other Capital Outlay  Health  Other (G32),0,g,0,0.3,0.3,0.6
#NAME?,Health Care,Medical service,Other Capital Outlay  Hospitals (G36),Other Capital Outlay  Hospitals (G36),Other Capital Outlay  Hospitals (G36),0,g,0,0.9,2.3,3.2
--Other Capital Outlay - Hospitals - Other (Disc. 2005) (G38),Health Care,Medical service,Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),0,,0,0,0,0
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),0.115,b,,,,0.115
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),0.455,b,,,,0.455
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),0.373,b,,,,0.373
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),0.132,b,,,,0.132
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),0.051,b,,,,0.051
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),0.947,b,,,,0.947
#NAME?,Health Care,Public health services,Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),Consumer and occupational health and safety (554),2.496,b,,,,2.496
--Intergovernmental Revenue from Federal - Environmental Health (NEW for 2007) (B43),Health Care,Public health services,Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),0,,0,0,0,0
--Current Operations - Environmental Health (NEW for 2007) (E27),Health Care,Public health services,Current Operations  Environmental Health (NEW for 2007) (E27),Current Operations  Environmental Health (NEW for 2007) (E27),Current Operations  Environmental Health (NEW for 2007) (E27),0,,0,0,0,0
--Construction - Environmental Health (NEW for 2007) (F27),Health Care,Public health services,Construction  Environmental Health (NEW for 2007) (F27),Construction  Environmental Health (NEW for 2007) (F27),Construction  Environmental Health (NEW for 2007) (F27),0,,0,0,0,0
--Other Capital Outlay - Environmental Health (NEW for 2007) (G27),Health Care,Public health services,Other Capital Outlay  Environmental Health (NEW for 2007) (G27),Other Capital Outlay  Environmental Health (NEW for 2007) (G27),Other Capital Outlay  Environmental Health (NEW for 2007) (G27),0,,0,0,0,0
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),0.15,b,,,,0.15
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),-0.15,b,,,,-0.15
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),0.265,b,,,,0.265
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),0.569,b,,,,0.569
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),0.144,b,,,,0.144
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),0.194,b,,,,0.194
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),-0.201,b,,,,-0.201
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),0.712,b,,,,0.712
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),30.314,b,,,,30.314
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),0.167,b,,,,0.167
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),0.138,b,,,,0.138
#NAME?,Health Care,R&D Health,Health research and training (552),Health research and training (552),Health research and training (552),-0.051,b,,,,-0.051
553,Health Care,R&D Health,-553,-553,-553,0,,0,0,0,0
#NAME?,Health Care,Health n.e.c.,,,,0,,0,0,0,0
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.175,b,,,,0.175
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.056,b,,,,0.056
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.189,b,,,,0.189
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.2,b,,,,0.2
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),9.727,b,,,,9.727
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.282,b,,,,0.282
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),10.97,b,,,,10.97
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),2.912,b,,,,2.912
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),-0.059,b,,,,-0.059
---United Mine Workers of America 1992 Benefit Plan,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.068,b,,,,0.068
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),-0.056,b,,,,-0.056
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),-0.175,b,,,,-0.175
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.134,b,,,,0.134
---United Mine Workers of America 1993 Benefit Plan,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.061,b,,,,0.061
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.359,b,,,,0.359
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),2.463,b,,,,2.463
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),3.181,b,,,,3.181
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),1.679,b,,,,1.679
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.242,b,,,,0.242
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),4.161,b,,,,4.161
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.156,b,,,,0.156
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.397,b,,,,0.397
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),1.936,b,,,,1.936
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),3.458,b,,,,3.458
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.077,b,,,,0.077
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.161,b,,,,0.161
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),2.965,b,,,,2.965
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.343,b,,,,0.343
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.097,b,,,,0.097
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.08,b,,,,0.08
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),2.055,b,,,,2.055
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),1.087,b,,,,1.087
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.803,b,,,,0.803
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.468,b,,,,0.468
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),282.819,b,,,,282.819
---Children's Health Insurance Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),10.027,b,,,,10.027
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.474,b,,,,0.474
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),1.09,b,,,,1.09
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.2,b,,,,0.2
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.344,b,,,,0.344
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.418,b,,,,0.418
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.374,b,,,,0.374
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),1.507,b,,,,1.507
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.426,b,,,,0.426
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.526,b,,,,0.526
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.069,b,,,,0.069
#NAME?,Health Care,Vendor Payments (Welfare),Health care services (551),Health care services (551),Health care services (551),0.057,b,,,,0.057
#NAME?,Health Care,Vendor Payments (Welfare),Federal Intergovernmental  Public Welfare (B79),Federal Intergovernmental  Public Welfare (B79),Federal Intergovernmental  Public Welfare (B79),0,g,-337.8,0,0,-337.8
"--Current Operations - Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",Health Care,Vendor Payments (Welfare),"Current Operations  Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)","Current Operations  Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)","Current Operations  Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",0,g,0,7.1,0,7.1
#NAME?,Health Care,Vendor Payments (Welfare),"Current Operations  Public Welfare, Vendor Payments for Medical Care (E74)","Current Operations  Public Welfare, Vendor Payments for Medical Care (E74)","Current Operations  Public Welfare, Vendor Payments for Medical Care (E74)",0,g,0,391.3,5.7,397
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",0.103,b,,,,0.103
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",0.673,b,,,,0.673
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",0.82,b,,,,0.82
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",4.426,b,,,,4.426
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",0.12,b,,,,0.12
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",0.123,b,,,,0.123
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",1.26,b,,,,1.26
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",0.323,b,,,,0.323
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",15.364,b,,,,15.364
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",1.305,b,,,,1.305
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",0.494,b,,,,0.494
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",0.685,b,,,,0.685
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",12.475,b,,,,12.475
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",0.208,b,,,,0.208
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",1.679,b,,,,1.679
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",19.577,b,,,,19.577
#NAME?,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)","Elementary, secondary, and vocational education (501)",0.06,b,,,,0.06
#NAME?,Education,Preprimary thru secondary education,Federal Intergovernmental  Education (B21),Federal Intergovernmental  Education (B21),Federal Intergovernmental  Education (B21),0,g,-104.4,0,0,-104.4
#NAME?,Education,Preprimary thru secondary education,Current Operations  Elementary and Secondary Education (E12),Current Operations  Elementary and Secondary Education (E12),Current Operations  Elementary and Secondary Education (E12),0,g,0,5.5,407.8,413.3
#NAME?,Education,Preprimary thru secondary education,Construction  Elementary and Secondary Education (F12),Construction  Elementary and Secondary Education (F12),Construction  Elementary and Secondary Education (F12),0,g,0,0.5,39.8,40.3
#NAME?,Education,Preprimary thru secondary education,Other Capital Outlay  Elementary and Secondary Education (G12),Other Capital Outlay  Elementary and Secondary Education (G12),Other Capital Outlay  Elementary and Secondary Education (G12),0,g,0,0.4,16.7,17.1
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),7.541,b,,,,7.541
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),-3.39,b,,,,-3.39
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),-28.709,b,,,,-28.709
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),-0.648,b,,,,-0.648
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),0.063,b,,,,0.063
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),0.124,b,,,,0.124
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),0.361,b,,,,0.361
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),1.554,b,,,,1.554
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),0.444,b,,,,0.444
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),0.234,b,,,,0.234
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),24.105,b,,,,24.105
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),13.553,b,,,,13.553
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),1.041,b,,,,1.041
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),0.29,b,,,,0.29
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),-0.335,b,,,,-0.335
#NAME?,Education,Tertiary education,Higher education (502),Higher education (502),Higher education (502),0.244,b,,,,0.244
#NAME?,Education,Tertiary education,Current Operations  Higher Education Auxiliary Enterprises (E16),Current Operations  Higher Education Auxiliary Enterprises (E16),Current Operations  Higher Education Auxiliary Enterprises (E16),0,g,0,21.7,2.2,24
#NAME?,Education,Tertiary education,Current Operations  Other Higher Education (E18),Current Operations  Other Higher Education (E18),Current Operations  Other Higher Education (E18),0,g,0,170.3,35.7,206
#NAME?,Education,Tertiary education,Construction  Higher Education  Auxiliary Enterprises (F16),Construction  Higher Education  Auxiliary Enterprises (F16),Construction  Higher Education  Auxiliary Enterprises (F16),0,g,0,4,0,4
#NAME?,Education,Tertiary education,Construction  Other Higher Education (F18),Construction  Other Higher Education (F18),Construction  Other Higher Education (F18),0,g,0,18.2,4.2,22.4
#NAME?,Education,Tertiary education,Other Capital Outlay  Higher Education  Auxiliary Enterprises (G16),Other Capital Outlay  Higher Education  Auxiliary Enterprises (G16),Other Capital Outlay  Higher Education  Auxiliary Enterprises (G16),0,g,0,0.3,0,0.3
#NAME?,Education,Tertiary education,Other Capital Outlay  Other Higher Education (G18),Other Capital Outlay  Other Higher Education (G18),Other Capital Outlay  Other Higher Education (G18),0,g,0,5.1,1,6
#NAME?,Education,Education not definable by level,General science and basic research (251),General science and basic research (251),General science and basic research (251),6.47,b,,,,6.47
#NAME?,Education,Education not definable by level,General science and basic research (251),General science and basic research (251),General science and basic research (251),5.864,b,,,,5.864
#NAME?,Education,Education not definable by level,General science and basic research (251),General science and basic research (251),General science and basic research (251),0.88,b,,,,0.88
#NAME?,Education,Education not definable by level,General science and basic research (251),General science and basic research (251),General science and basic research (251),0.15,b,,,,0.15
#NAME?,Education,Education not definable by level,General science and basic research (251),General science and basic research (251),General science and basic research (251),0.296,b,,,,0.296
#NAME?,Education,Education not definable by level,General science and basic research (251),General science and basic research (251),General science and basic research (251),0.254,b,,,,0.254
--Space flight (253),Education,Education not definable by level,Space flight (253),Space flight (253),Space flight (253),0,,0,0,0,0
"--Space, science, applications, and technology (254)",Education,Education not definable by level,"Space, science, applications, and technology (254)","Space, science, applications, and technology (254)","Space, science, applications, and technology (254)",0,,0,0,0,0
--Supporting space activities (255),Education,Education not definable by level,Supporting space activities (255),Supporting space activities (255),Supporting space activities (255),0,,0,0,0,0
#NAME?,Education,Education not definable by level,Research and general education aids (503),Research and general education aids (503),Research and general education aids (503),0.074,b,,,,0.074
#NAME?,Education,Education not definable by level,Research and general education aids (503),Research and general education aids (503),Research and general education aids (503),0.476,b,,,,0.476
